"","Идентификатор","Комнатность","Новостройка","Метро.Район","Время.до.метро","Улица","Дом","Этаж","Площадь.общая","Площадь.жилая","Площадь.кухни","Цена.в.руб.","Цена.в.долл.","Цена.в.евро","Источник.получения","Дата.объявления","Контакты","На.сайте","Описание"
"12",23947096,"01.янв","Нет","Полянка","1п","Большая Полянка","28","мар.16",40,"21",8,1e+07,284252,209904,"Дом Сервис+","10.01.2014 5:20","Тел.: 89037997352, http://www.7829980.ru, mailto:7829980@mail.ru","","Квартира 1-комн., общ.пл.-40, жил.пл.-21, кухня-8, метро или район:Полянка, 1 мин. п, адрес:Москва, Большая Полянка, 28/1, этаж/этажность -3/16, балкон:Б, санузел-разд., Лот: А25690 : 1 квартира, Москва, м. Полянка, Большая Полянка, д. 28К1 Чистый подъезд, консьерж. Въезд во двор, под шлагбаум. Паркинг, во дворе. Квартира требует ремонта. Все окна, во ДВОР!!! полная стоимость, в ДКП. Без торга., Цена:10 млн. руб."
"13",23947095,"01.янв","Нет","Маяковская","5п","4-я Тверская-Ямская","2/11С2","08.сен",35,"18",7,1e+07,284252,209904,"Дом Сервис+","10.01.2014 5:20","Тел.: 89037997352, http://www.7829980.ru, mailto:7829980@mail.ru","","Квартира 1-комн., общ.пл.-35, жил.пл.-18, кухня-7, метро или район:Маяковская, 5 мин. п, адрес:Москва, 4-я Тверская-Ямская, 2/11С2, этаж/этажность -8/9, балкон:Б, санузел-разд., Лот: А25687 : 1 квартира, Москва, м. Маяковская, 4 Тверская-Ямская, д. 2/11 С2 Чистый подъезд, консьерж, Красивый вид из окон. Зеленый двор. Среднее состояние. Полная стоимость в ДКП. Без торга., Цена:10 млн. руб."
"14",24050088,"02.фев","Нет","Новокузнецкая","5п","Озерковская наб","02.янв","сен.16",39.6,"22,3",7,1e+07,291885,215540,"ИНКОМ-Недвижимость","31.01.2014 12:50","Тел.: +7(495)363-04-04, mailto:mk-kn@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0253169&ir=bazaincom","Квартира 2-комн., общ.пл.-39.60, жил.пл.-22.30, кухня-7.00, метро или район:Новокузнецкая, 5 мин. п, адрес:Москва, Озерковская наб, 2/1, этаж/этажность -9/16, телефон-ЕСТЬ, санузел-разд., Лот: вт-0253169, живописная набережная исторического центра Москвы, Замоскворечье, развитая инфраструктура, прекрасный вид из окна, тихие, интеллигентные соседи, +7(926)480-9760., Цена:10 млн. руб.|291.885 тыс.$|215.54 тыс. евро"
"15",23963901,"01.янв","Нет","Новокузнецкая",NA,"Космодамианская наб","апр.22","05.сен",32,"18,8",7,10200000,297723,219851,"ИНКОМ-Недвижимость","15.01.2014 12:20","Тел.: +7(495)363-04-56, mailto:mk_sc@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0251624&ir=bazaincom","Квартира 1-комн., общ.пл.-32.00, жил.пл.-18.80, кухня-7.00, метро или район:Новокузнецкая, адрес:Москва, Космодамианская наб, 4/22/А, этаж/этажность -5/9, балкон:Б, телефон-ЕСТЬ, санузел-совм., Лот: вт-0251624, дом на набережной, тихий зеленый двор, хорошее состояние кв-ры, окна во двор, стеклопакеты, перекрыт.ж/б, выс.пот.2,8, чистый подъезд, прямая продажа, свободна Содействие в получении специальных условий и преференций по ипотеке., Цена:10.2 млн. руб.|297.723 тыс.$|219.851 тыс. евро"
"16",23805673,"01.янв","Нет","Цветной бульвар","7п","Малая Сухаревская пл","3","03.окт",36,"19",7,10500000,298465,220399,"Бест.Центр Заг.Недв.","06.12.2013 7:35","Тел.: +7-916-745-20-50, http://http://www.9256601.ru/item19089.html, mailto:dom@9256601.ru","","Квартира 1-комн., общ.пл.-36, жил.пл.-19, кухня-7, метро или район:Цветной бульвар, 7 мин. п, адрес:Москва, Малая Сухаревская пл, 3, этаж/этажность -3/10, телефон-ЕСТЬ, санузел-совм., Лот N 19089. Малая Сухаревская площадь 3, Две минуты пешком до метро. Фасадный сталинский дом. Товарищество собственников, огороженная территория. КПП, пропускная система въезда, видеонаблюдение. Своя детская площадка и парковка во дворе. Лифт. Необычная планировка квартиры. Большой встроенный шкаф в коридоре.  ..."
"17",23805674,"01.янв","Нет","Сухаревская","5п","Малая Сухаревская пл","3","03.окт",36,"19",7,10500000,298465,220399,"Бест.Центр Заг.Недв.","06.12.2013 7:35","Тел.: +7-916-745-20-50, http://http://www.9256601.ru/item19088.html, mailto:dom@9256601.ru","","Квартира 1-комн., общ.пл.-36, жил.пл.-19, кухня-7, метро или район:Сухаревская, 5 мин. п, адрес:Москва, Малая Сухаревская пл, 3, этаж/этажность -3/10, телефон-ЕСТЬ, санузел-совм., Лот N 19088. Эксклюзив. Малая Сухаревская площадь 3, Две минуты пешком до метро. Фасадный сталинский дом. Товарищество собственников, огороженная территория. КПП, пропускная система въезда, видеонаблюдение. Своя детская площадка и парковка во дворе. Лифт. Необычная планировка квартиры. Большой встроенный шкаф в кор ..."
"18",22950996,"01.янв","Нет","Красные Ворота","10п","Каланчевская","47","05.июн",40.6,"18,7",8,10500000,306479,226317,"ИНКОМ-Недвижимость","04.09.2013 13:20","Тел.: +7(495)363-99-63, mailto:mk_mr@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0242292&ir=bazaincom","Квартира 1-комн., общ.пл.-40.60, жил.пл.-18.70, кухня-8.00, метро или район:Красные Ворота, 10 мин. п, адрес:Москва, Каланчевская, 47, этаж/этажность -5/6, балкон:Б, санузел-совм., Лот: вт-0242292, дизайнерский ремонт, стеклопакеты, ламинат, полы с подогревом, кондиционер, лифт есть, Цена:10.5 млн. руб.|306.479 тыс.$|226.317 тыс. евро"
"19",23815720,"02.фев",NA,"Сухаревская","5п","Мещанская","2","04.май",37,"27",4,10900000,309835,228795,"Дом Сервис+","11.12.2013 5:20","Тел.: 89037294075, http://www.7829980.ru, mailto:7829980@mail.ru","","Квартира 2-комн., общ.пл.-37, жил.пл.-27, кухня-4, метро или район:Сухаревская, 5 мин. п, адрес:Москва, Мещанская, 2, этаж/этажность -4/5, балкон:Б, санузел-совм., Лот: А26367 : 2 квартира, Москва, м. Сухаревская, Мещанская, д.2 Продается уютная 2-х комнатная квартира для одного человека или молодой семьи в самом центре деловой Москвы. Удобное расположение во всех отношениях: тихое место, парковка во дворе, магазины, соц. службы. Квартира требует ремонта. Альтернатива простая. Взрослые собст ..."
"20",23686692,"02.мар","Нет","Смоленская","3п","Кривоарбатский пер.","3","05.июл",73.5,"31",9,1.1e+07,312677,230894,"Ризолит на Белорус.","09.11.2013 5:35","Тел.: (495) 925-8825, mailto:info@9258825.ru","http://9258825.ru/realty/viewRealtyFlat.act?realtyObjectId=1129585","Квартира 3-комн., общ.пл.-73.5, жил.пл.-31.0, кухня-9.0, метро или район:Смоленская, 3 мин. п, адрес:Москва, Кривоарбатский пер., 3, этаж/этажность -5/7, Продаются 2 комнаты в 3-х комнатной квартире, 19 и 12 кв.м. Доходный дом И. В. Борисова. Одна соседка, перспектива выкупа ее комнаты. Видовая квартира, рядом пешеходная улица Арбат, д/сады, школы, театры, Кремль. Интересная планировка. Потолки 3,40. Состояние дома и подъезда отличное.Отличный панорамный вид из окон. Возможна продажа по ипот ..."
"21",24043704,"1",NA,"Пушкинская","10п","Садовая-Триумфальная","22/31","окт.16",40.5,"20",9,11500000,326890,241389,"Н&Ц","31.01.2014 4:35","Тел.: 8-985-231-6351","","Квартира 1-комн., общ.пл.-40.5, жил.пл.-20, кухня-9, метро или район:Пушкинская, 10 мин. пеш., адрес:Москва, Садовая-Триумфальная, 22/31, этаж/этажность -10/16, Дом ЖСК, больш. застекл. лоджия на 2 окна, больш. с/у, отл. подъезд, консьерж, огорож. террит., Цена:11.5 млн. руб.Простая продажа."
"22",23374902,"01.янв","Нет","Полянка","5п","Полянка Б.","30","июн.14",39,"19",10,11500000,335668,247871,"ИНКОМ-Недвижимость","12.10.2013 12:20","Тел.: +7(495)363-08-80, mailto:mkv_ak@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0245294&ir=bazaincom","Квартира 1-комн., общ.пл.-39.00, жил.пл.-19.00, кухня-10.00, метро или район:Полянка, 5 мин. п, адрес:Москва, Полянка Б., 30, этаж/этажность -6/14, балкон:Л, телефон-ЕСТЬ, санузел-совм., Лот: вт-0245294, Исторический центр Москвы, вид из окон на храмы, огороженная территория, охраняемый паркинг, чистый подъезд, в собственности с 1993 г, большая лоджия из комнаты и кухни, торг. Содействие в получении специальных условий и преференций по ипотеке., Цена:11.5 млн. руб.|335.668 тыс.$|247.871 тыс. ..."
"23",23817987,"01.янв","Нет","Китай-город","5п","Маросейка","10","04.май",44.7,"31",13.7,11500000,335668,247871,"ИНКОМ-Недвижимость","11.12.2013 12:35","Тел.: +7(495)363-99-30, mailto:mk_war@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0220342&ir=bazaincom","Квартира 1-комн., общ.пл.-44.70, жил.пл.-31.00, кухня-13.70, метро или район:Китай-город, 5 мин. п, адрес:Москва, Маросейка, 10/3, этаж/этажность -4/5, телефон-ЕСТЬ, санузел-разд., Лот: вт-0220342, хорошее состояние, потолки 3,20 м, новый лифт, тихий переулок и двор, квартира в 15 мин. ходьбы от Кремля, 2 взрослых собственника, срочно, Цена:11.5 млн. руб.|335.668 тыс.$|247.871 тыс. евро"
"24",21953207,"2","Нет","Сухаревская","5п","Сухаревский Б. пер","14","03.дек",39,"27",7,11961200,340000,251070,"Eurodoma","15.05.2013 5:50","Тел.: (495)777-3017,(903)133-2743, http://www.arendamsk.ru, mailto:7773017@mail.ru","","Квартира 2-комн., общ.пл.-39, жил.пл.-27, кухня-7, метро или район:Сухаревская, 5 мин. п, адрес:Москва, Сухаревский Б. пер, 14, этаж/этажность -3/12, Продается двух комнатная квартира, м. Сухаревская, Большой сухаревский переулок, д. 14. Приличное состояние, паркет, недавно замена коммуникаций. Свободная продажа. Застекленный балкон, Один взрослый собственник. ДКП более 3 лет (14 лет)., Цена:340 тыс.$за объект"
"25",24050060,"03.мар","Нет","Красные Ворота","7п","Басманный туп","10.дек","01.сен",67,"40,8",11,1.2e+07,350262,258648,"ИНКОМ-Недвижимость","31.01.2014 12:35","Тел.: +7(495)363-18-18, mailto:mk_tr@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0252446&ir=bazaincom","Квартира 3-комн., общ.пл.-67.00, жил.пл.-40.80, кухня-11.00, метро или район:Красные Ворота, 7 мин. п, адрес:Москва, Басманный туп, 10/12, этаж/этажность -1/9, телефон-ЕСТЬ, санузел-разд., Лот: вт-0252446, квартира будет удобно и в качестве офиса, т.к. на проходном месте и в качестве жилья для семьи, т.к. рядом Сад им.Баумана, дом недавно отреставрирован, большой двор, 8-985-832-20-80, Цена:12 млн. руб.|350.262 тыс.$|258.648 тыс. евро"
"26",23455161,"02.фев","Нет","Смоленская","10п","Новый Арбат","34","05.май",43,"26",5,1.2e+07,341102,251884,"Азбука Жилья","19.10.2013 5:05","Тел.: +7 (495) 795-0569, http://http://www.azbuka-vtorich.ru/70239, mailto:vtorich@azbuka.ru","","Квартира 2-комн., общ.пл.-43, жил.пл.-26, кухня-5, метро или район:Смоленская, 10 мин. п, адрес:Москва, Новый Арбат, 34, этаж/этажность -5/5, балкон:Б, санузел-разд., Первичные документы более 3-х лет, чистый подъезд, домофон, стеклопакеты, кондиционер, комнаты изолированные, хорошее состояние, шаговая доступность до 3-х станций метро, прекрасный вид из окон на Кутузовский проспект, гостинница Украина, Белый Дом, ухоженный двор с детской площадкой, рядом школа, д/сад, можно сделать прекрасну ..."
"27",23805926,"03.мар","Нет","Красные Ворота","5п","Басманная Н.","04.июн","04.авг",65,"44",7,12190000,355808,262744,"ИНКОМ-Недвижимость","06.12.2013 12:20","Тел.: +7(495)363-08-80, mailto:mkv_ak@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0226524&ir=bazaincom","Квартира 3-комн., общ.пл.-65.00, жил.пл.-44.00, кухня-7.00, метро или район:Красные Ворота, 5 мин. п, адрес:Москва, Басманная Н., 4-6/3, этаж/этажность -4/8, балкон:Б, телефон-ЕСТЬ, санузел-разд., Лот: вт-0226524, Быстрый выход на сделку, 5 минут пешком от метро Красные Ворота, изолированные комнаты, h-3м, ванная комната с окном, вид на храм, рядом д/с, школа, срочно. Содействие в получении специальных условий и преференций по ипотеке., Цена:12.19 млн. руб.|355.808 тыс.$|262.744 тыс. евро"
"28",23960983,"01.янв","Нет","Смоленская","1п","Карманицкий пер","5","04.сен",36,"17",8,12300000,359019,265115,"ИНКОМ-Недвижимость","14.01.2014 14:35","Тел.: +7(495)363-08-50, mailto:mk_ar@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0237795&ir=bazaincom","Квартира 1-комн., общ.пл.-36.00, жил.пл.-17.00, кухня-8.00, метро или район:Смоленская, 1 мин. п, адрес:Москва, Карманицкий пер, 5/1, этаж/этажность -4/9, балкон:Б, телефон-ЕСТЬ, санузел-разд., Лот: вт-0237795, дом Совмина, огороженная территория с д/площадкой, окна выходят в тихий зеленый двор, эркер, балкон, тамбур на две квартиры, подъезд после капремонта, домофон, 1 взрослый собственник более 3-х лет, легкая альтернатива, Цена:12.3 млн. руб.|359.019 тыс.$|265.115 тыс. евро"
"29",23796186,"01.янв","Нет","Цветной бульвар","10п","Делегатская","9","ноя.16",36,"19",9,12450000,363397,268348,"ИНКОМ-Недвижимость","04.12.2013 12:20","Тел.: +7(495)228-07-77, mailto:mk_nsl@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0234300&ir=bazaincom","Квартира 1-комн., общ.пл.-36.00, жил.пл.-19.00, кухня-9.00, метро или район:Цветной бульвар, 10 мин. п, адрес:Москва, Делегатская, 9/1, этаж/этажность -11/16, балкон:Б, телефон-ЕСТЬ, Лот: вт-0234300, хорошее состояние квартиры, консьерж, рядом метро, центр города, зеленый двор, сквер, Екатерининский парк, свободная продажа., Цена:12.45 млн. руб.|363.397 тыс.$|268.348 тыс. евро"
"30",22380441,"01.янв","Нет","Смоленская","7п","Девятинский Б. пер","3","01.июн",38,"22",7,12500000,364856,269425,"ИНКОМ-Недвижимость","28.06.2013 12:21","Тел.: +7(495)363-08-50, mailto:mk_ar@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0237873&ir=bazaincom","Квартира 1-комн., общ.пл.-38.00, жил.пл.-22.00, кухня-7.00, метро или район:Смоленская, 7 мин. п, адрес:Москва, Девятинский Б. пер, 3, этаж/этажность -1/6, санузел-разд., Лот: вт-0237873, большая квадратная комната, шаговая доступность до м.Баррикадная, идеально под коммерческую недвижимость, тихий офис, представительство, в доме проведен капремонт с заменой коммуникаций, рядом парковка, более 3-х лет в собственности, юридически и физически свободна, Цена:12.5 млн. руб.|364.856 тыс.$|269.425 ..."
"31",23657058,"02.фев","Нет","Сухаревская","7п","Спасская Б.","33","мар.16",53.2,"32",9.2,12600000,367775,271581,"ИНКОМ-Недвижимость","06.11.2013 12:21","Тел.: +7(495)363-17-01, mailto:mk_mit@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0247265&ir=bazaincom","Квартира 2-комн., общ.пл.-53.20, жил.пл.-32.00, кухня-9.20, метро или район:Сухаревская, 7 мин. п, адрес:Москва, Спасская Б., 33, этаж/этажность -3/16, балкон:Б, телефон-ЕСТЬ, санузел-разд., Лот: вт-0247265, уютная квартира в центре Москвы, в шаговой доступности д/с, школа, в доме магазин ""Магнолия"", в подъезде консъерж, в собственности более 3-х лет Содействие в получении специальных условий и преференций по ипотеке., Цена:12.6 млн. руб.|367.775 тыс.$|271.581 тыс. евро"
"32",23953259,"02.фев","Нет","Маяковская","7п","Каретный М. пер","5","04.апр",60,"32",9.5,12800000,373613,275892,"ИНКОМ-Недвижимость","11.01.2014 12:35","Тел.: +7(495)363-18-18, mailto:mk_tr@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0251438&ir=bazaincom","Квартира 2-комн., общ.пл.-60.00, жил.пл.-32.00, кухня-9.50, метро или район:Маяковская, 7 мин. п, адрес:Москва, Каретный М. пер, 5, этаж/этажность -4/4, телефон-ЕСТЬ, санузел-разд., Лот: вт-0251438, Старая Москва, историческое место, ж/б перекрытия, м/место во дворе за шлагбаумом, в квартире косметический ремонт, бонус агентам - 100 тыс.руб, 8-910-440-96-91 Содействие в получении специальных условий и преференций по ипотеке., Цена:12.8 млн. руб.|373.613 тыс.$|275.892 тыс. евро"
"33",23684406,"01.янв","Нет","Кропоткинская","7п","Гагаринский пер","31","янв.14",35,"18",8,1.3e+07,379451,280203,"ИНКОМ-Недвижимость","08.11.2013 12:35","Тел.: +7(495)363-08-50, mailto:mk_ar@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0232716&ir=bazaincom","Квартира 1-комн., общ.пл.-35.00, жил.пл.-18.00, кухня-8.00, метро или район:Кропоткинская, 7 мин. п, адрес:Москва, Гагаринский пер, 31, этаж/этажность -1/14, балкон:Л, санузел-разд., Лот: вт-0232716, хорошее состояние, плитка в с/у и на кухне, большая лоджия, высокий 1-ый этаж, чистый подъезд, кирпичный ведомственный дом, 7мин. пешком до м.Смоленская и Кропоткинская, альтернатива, Цена:13 млн. руб.|379.451 тыс.$|280.203 тыс. евро"
"34",23684378,"01.янв","Нет","Смоленская","7п","Гагаринский пер","31","янв.14",35,"18",8,1.3e+07,379451,280203,"ИНКОМ-Недвижимость","08.11.2013 12:35","Тел.: +7(495)363-08-50, mailto:mk_ar@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0233846&ir=bazaincom","Квартира 1-комн., общ.пл.-35.00, жил.пл.-18.00, кухня-8.00, метро или район:Смоленская, 7 мин. п, адрес:Москва, Гагаринский пер, 31, этаж/этажность -1/14, балкон:Л, санузел-разд., Лот: вт-0233846, хорошее состояние, плитка в с/у и на кухне, большая лоджия, высокий 1-ый этаж, чистый подъезд, кирпичный ведомственный дом, 7 мин.пешком до м. Кропоткинская, альтернатива, Цена:13 млн. руб.|379.451 тыс.$|280.203 тыс. евро"
"35",23250510,"02.фев","Нет","Смоленская","7п","Новоконюшенный пер","14","04.июн",55,"34",9,13300000,388207,286669,"ИНКОМ-Недвижимость","03.10.2013 12:35","Тел.: +7(495)363-99-63, mailto:mk_mr@incom.ru","http://www.incom.ru/sale-realty/flats/lot/?L=вт-0244628&ir=bazaincom","Квартира 2-комн., общ.пл.-55.00, жил.пл.-34.00, кухня-9.00, метро или район:Смоленская, 7 мин. п, адрес:Москва, Новоконюшенный пер, 14, этаж/этажность -4/6, балкон:Б, санузел-разд., Лот: вт-0244628, т. 8-926-215-72-78 Светлана, хорошее состояние, юр. и физ. свободна, более 3-лет в собств., Цена:13.3 млн. руб.|388.207 тыс.$|286.669 тыс. евро"
"36",24043467,"2","Нет","Смоленская",NA,"Плющиха ул., д.27","","01.авг",50.6,"32,5",9,13500000,383740,283370,"Н&Ц","31.01.2014 4:35","Тел.: 8-495-775-3001, 8-495-983-0260, http://www.greatr.ru","","#9860 Квартира 2-комн., общ.пл.-50.6, жил.пл.-32.5, кухня-9, метро или район:Смоленская, адрес:Москва, Плющиха ул., д.27, , этаж/этажность -1/8, Большой холл. Окна во двор. Высокий 1 этаж. Подъезд после ремонта. В подъезде видеонаблюдение., Цена:13.5 млн. руб.Перекрытия ЖБ."
